Date	Polygon	Observed Devices
2020-02-15	Green Acres OTR	26
2020-02-16	Green Acres OTR	13
2020-02-17	Green Acres OTR	13
2020-02-18	Green Acres OTR	17
2020-02-19	Green Acres OTR	14
2020-02-20	Green Acres OTR	11
2020-02-21	Green Acres OTR	14
2020-02-22	Green Acres OTR	20
2020-02-23	Green Acres OTR	7
2020-02-24	Green Acres OTR	6
2020-02-25	Green Acres OTR	9
2020-02-26	Green Acres OTR	10
2020-02-27	Green Acres OTR	7
2020-02-28	Green Acres OTR	19
2020-02-29	Green Acres OTR	14
2020-03-01	Green Acres OTR	6
2020-03-02	Green Acres OTR	12
2020-03-03	Green Acres OTR	13
2020-03-04	Green Acres OTR	10
2020-03-05	Green Acres OTR	14
2020-03-06	Green Acres OTR	14
2020-03-07	Green Acres OTR	18
2020-03-08	Green Acres OTR	12
2020-03-09	Green Acres OTR	11
2020-03-10	Green Acres OTR	10
2020-03-11	Green Acres OTR	22
2020-03-12	Green Acres OTR	12
2020-03-13	Green Acres OTR	18
2020-03-14	Green Acres OTR	18
2020-03-15	Green Acres OTR	17
2020-03-16	Green Acres OTR	8
2020-03-17	Green Acres OTR	9
2020-03-18	Green Acres OTR	10
2020-03-19	Green Acres OTR	20
2020-03-20	Green Acres OTR	7
2020-03-21	Green Acres OTR	9
2020-03-22	Green Acres OTR	1
2020-03-23	Green Acres OTR	9
2020-03-24	Green Acres OTR	7
2020-03-25	Green Acres OTR	6
2020-03-26	Green Acres OTR	11
2020-03-27	Green Acres OTR	11
2020-03-28	Green Acres OTR	5
2020-03-29	Green Acres OTR	7
2020-03-30	Green Acres OTR	11
2020-03-31	Green Acres OTR	11
2020-04-01	Green Acres OTR	6
2020-04-02	Green Acres OTR	6
2020-04-03	Green Acres OTR	3
2020-04-04	Green Acres OTR	12
2020-04-05	Green Acres OTR	5
2020-04-06	Green Acres OTR	9
2020-04-07	Green Acres OTR	13
2020-04-08	Green Acres OTR	9
2020-04-09	Green Acres OTR	3
2020-04-10	Green Acres OTR	9
2020-04-11	Green Acres OTR	8
2020-04-12	Green Acres OTR	12
2020-04-13	Green Acres OTR	8
2020-04-14	Green Acres OTR	8
2020-04-15	Green Acres OTR	5
2020-04-16	Green Acres OTR	7
2020-04-17	Green Acres OTR	8
2020-04-18	Green Acres OTR	7
2020-04-19	Green Acres OTR	10
2020-04-20	Green Acres OTR	7
2020-04-21	Green Acres OTR	11
2020-04-22	Green Acres OTR	11
2020-04-23	Green Acres OTR	12
2020-04-24	Green Acres OTR	12
2020-04-25	Green Acres OTR	13
2020-04-26	Green Acres OTR	10
2020-04-27	Green Acres OTR	7
2020-04-28	Green Acres OTR	7
2020-04-29	Green Acres OTR	8
2020-04-30	Green Acres OTR	10
2020-05-01	Green Acres OTR	15
2020-05-02	Green Acres OTR	7
2020-05-03	Green Acres OTR	6
2020-05-04	Green Acres OTR	12
2020-05-05	Green Acres OTR	12
2020-05-06	Green Acres OTR	5
2020-05-07	Green Acres OTR	8
2020-05-08	Green Acres OTR	15
2020-05-09	Green Acres OTR	8
2020-05-10	Green Acres OTR	10
2020-05-11	Green Acres OTR	9
2020-05-12	Green Acres OTR	10
2020-05-13	Green Acres OTR	11
2020-05-14	Green Acres OTR	13
2020-05-15	Green Acres OTR	16
2020-05-16	Green Acres OTR	11
2020-05-17	Green Acres OTR	10
2020-05-18	Green Acres OTR	7
2020-05-19	Green Acres OTR	19
2020-05-20	Green Acres OTR	10
2020-05-21	Green Acres OTR	20
2020-05-22	Green Acres OTR	11
2020-05-23	Green Acres OTR	9
2020-05-24	Green Acres OTR	11
2020-05-25	Green Acres OTR	3
2020-05-26	Green Acres OTR	12
2020-05-27	Green Acres OTR	11
2020-05-28	Green Acres OTR	7
2020-05-29	Green Acres OTR	18
2020-05-30	Green Acres OTR	18
2020-05-31	Green Acres OTR	13
2020-06-01	Green Acres OTR	7
2020-06-02	Green Acres OTR	4
2020-06-03	Green Acres OTR	12
2020-06-04	Green Acres OTR	11
2020-06-05	Green Acres OTR	11
2020-06-06	Green Acres OTR	15
2020-06-07	Green Acres OTR	3
2020-06-08	Green Acres OTR	5
2020-06-09	Green Acres OTR	13
2020-06-10	Green Acres OTR	5
2020-06-11	Green Acres OTR	9
2020-06-12	Green Acres OTR	13
2020-06-13	Green Acres OTR	11
2020-06-14	Green Acres OTR	8
2020-06-15	Green Acres OTR	10
2020-06-16	Green Acres OTR	6
2020-06-17	Green Acres OTR	8
2020-06-18	Green Acres OTR	17
2020-06-19	Green Acres OTR	9
2020-06-20	Green Acres OTR	7
2020-06-21	Green Acres OTR	13
2020-06-22	Green Acres OTR	9
2020-06-23	Green Acres OTR	5
2020-06-24	Green Acres OTR	8
2020-06-25	Green Acres OTR	9
2020-06-26	Green Acres OTR	12
2020-06-27	Green Acres OTR	12
2020-06-28	Green Acres OTR	8
2020-06-29	Green Acres OTR	7
2020-06-30	Green Acres OTR	17
2020-07-01	Green Acres OTR	16
2020-07-02	Green Acres OTR	19
2020-07-03	Green Acres OTR	11
2020-07-04	Green Acres OTR	14
2020-07-05	Green Acres OTR	10
2020-07-06	Green Acres OTR	7
2020-07-07	Green Acres OTR	10
2020-07-08	Green Acres OTR	15
2020-07-09	Green Acres OTR	9
2020-07-10	Green Acres OTR	16
2020-07-11	Green Acres OTR	14
2020-07-12	Green Acres OTR	12
2020-07-13	Green Acres OTR	6
2020-07-14	Green Acres OTR	10
2020-07-15	Green Acres OTR	14
2020-07-16	Green Acres OTR	9
2020-07-17	Green Acres OTR	19
2020-07-18	Green Acres OTR	21
2020-07-19	Green Acres OTR	10
2020-07-20	Green Acres OTR	12
2020-07-21	Green Acres OTR	8
2020-07-22	Green Acres OTR	14
2020-07-23	Green Acres OTR	6
2020-07-24	Green Acres OTR	11
2020-07-25	Green Acres OTR	15
2020-07-26	Green Acres OTR	10
2020-07-27	Green Acres OTR	14
2020-07-28	Green Acres OTR	17
2020-07-29	Green Acres OTR	12
2020-07-30	Green Acres OTR	11
2020-07-31	Green Acres OTR	13
2020-08-01	Green Acres OTR	22
2020-08-02	Green Acres OTR	10
2020-08-03	Green Acres OTR	17
2020-08-04	Green Acres OTR	16
2020-08-05	Green Acres OTR	6
2020-08-06	Green Acres OTR	7
2020-08-07	Green Acres OTR	13
2020-08-08	Green Acres OTR	16
2020-08-09	Green Acres OTR	8
2020-08-10	Green Acres OTR	10
2020-08-11	Green Acres OTR	3
2020-08-12	Green Acres OTR	15
2020-08-13	Green Acres OTR	11
2020-08-14	Green Acres OTR	16
2020-08-15	Green Acres OTR	14
2020-08-16	Green Acres OTR	16
2020-08-17	Green Acres OTR	9
2020-08-18	Green Acres OTR	9
2020-08-19	Green Acres OTR	10
2020-08-20	Green Acres OTR	10
2020-08-21	Green Acres OTR	14
2020-08-22	Green Acres OTR	16
2020-08-23	Green Acres OTR	16
2020-08-24	Green Acres OTR	6
2020-08-25	Green Acres OTR	16
2020-08-26	Green Acres OTR	14
2020-08-27	Green Acres OTR	11
2020-08-28	Green Acres OTR	15
2020-08-29	Green Acres OTR	9
2020-08-30	Green Acres OTR	10
2020-08-31	Green Acres OTR	6
