Date	Polygon	Observed Devices
2020-05-16	Klemzig SA Competitor	42
2020-05-17	Klemzig SA Competitor	35
2020-05-18	Klemzig SA Competitor	42
2020-05-19	Klemzig SA Competitor	50
2020-05-20	Klemzig SA Competitor	41
2020-05-21	Klemzig SA Competitor	50
2020-05-22	Klemzig SA Competitor	42
2020-05-23	Klemzig SA Competitor	69
2020-05-24	Klemzig SA Competitor	31
2020-05-25	Klemzig SA Competitor	32
2020-05-26	Klemzig SA Competitor	32
2020-05-27	Klemzig SA Competitor	43
2020-05-28	Klemzig SA Competitor	36
2020-05-29	Klemzig SA Competitor	36
2020-05-30	Klemzig SA Competitor	38
2020-05-31	Klemzig SA Competitor	24
2020-06-01	Klemzig SA Competitor	26
2020-06-02	Klemzig SA Competitor	51
2020-06-03	Klemzig SA Competitor	46
2020-06-04	Klemzig SA Competitor	55
2020-06-05	Klemzig SA Competitor	49
2020-06-06	Klemzig SA Competitor	47
2020-06-07	Klemzig SA Competitor	51
2020-06-08	Klemzig SA Competitor	25
2020-06-09	Klemzig SA Competitor	41
2020-06-10	Klemzig SA Competitor	37
2020-06-11	Klemzig SA Competitor	39
2020-06-12	Klemzig SA Competitor	56
2020-06-13	Klemzig SA Competitor	41
2020-06-14	Klemzig SA Competitor	31
2020-06-15	Klemzig SA Competitor	36
2020-06-16	Klemzig SA Competitor	40
2020-06-17	Klemzig SA Competitor	39
2020-06-18	Klemzig SA Competitor	60
2020-06-19	Klemzig SA Competitor	66
2020-06-20	Klemzig SA Competitor	65
2020-06-21	Klemzig SA Competitor	27
2020-06-22	Klemzig SA Competitor	45
2020-06-23	Klemzig SA Competitor	44
2020-06-24	Klemzig SA Competitor	61
2020-06-25	Klemzig SA Competitor	52
2020-06-26	Klemzig SA Competitor	47
2020-06-27	Klemzig SA Competitor	44
2020-06-28	Klemzig SA Competitor	56
2020-06-29	Klemzig SA Competitor	33
2020-06-30	Klemzig SA Competitor	61
2020-07-01	Klemzig SA Competitor	49
2020-07-02	Klemzig SA Competitor	52
2020-07-03	Klemzig SA Competitor	37
2020-07-04	Klemzig SA Competitor	51
2020-07-05	Klemzig SA Competitor	50
2020-07-06	Klemzig SA Competitor	40
2020-07-07	Klemzig SA Competitor	45
2020-07-08	Klemzig SA Competitor	58
2020-07-09	Klemzig SA Competitor	35
2020-07-10	Klemzig SA Competitor	64
2020-07-11	Klemzig SA Competitor	36
2020-07-12	Klemzig SA Competitor	46
2020-07-13	Klemzig SA Competitor	58
2020-07-14	Klemzig SA Competitor	47
2020-07-15	Klemzig SA Competitor	51
2020-07-16	Klemzig SA Competitor	43
2020-07-17	Klemzig SA Competitor	59
2020-07-18	Klemzig SA Competitor	53
2020-07-19	Klemzig SA Competitor	35
2020-07-20	Klemzig SA Competitor	50
2020-07-21	Klemzig SA Competitor	45
2020-07-22	Klemzig SA Competitor	57
2020-07-23	Klemzig SA Competitor	48
2020-07-24	Klemzig SA Competitor	61
2020-07-25	Klemzig SA Competitor	53
2020-07-26	Klemzig SA Competitor	51
2020-07-27	Klemzig SA Competitor	55
2020-07-28	Klemzig SA Competitor	61
2020-07-29	Klemzig SA Competitor	69
2020-07-30	Klemzig SA Competitor	70
2020-07-31	Klemzig SA Competitor	60
2020-08-01	Klemzig SA Competitor	79
2020-08-02	Klemzig SA Competitor	46
2020-08-03	Klemzig SA Competitor	35
2020-08-04	Klemzig SA Competitor	32
2020-08-05	Klemzig SA Competitor	45
2020-08-06	Klemzig SA Competitor	75
2020-08-07	Klemzig SA Competitor	67
2020-08-08	Klemzig SA Competitor	62
2020-08-09	Klemzig SA Competitor	52
2020-08-10	Klemzig SA Competitor	55
2020-08-11	Klemzig SA Competitor	55
2020-08-12	Klemzig SA Competitor	71
2020-08-13	Klemzig SA Competitor	52
2020-08-14	Klemzig SA Competitor	61
2020-08-15	Klemzig SA Competitor	64
2020-08-16	Klemzig SA Competitor	57
2020-08-17	Klemzig SA Competitor	51
2020-08-18	Klemzig SA Competitor	71
2020-08-19	Klemzig SA Competitor	32
2020-08-20	Klemzig SA Competitor	47
2020-08-21	Klemzig SA Competitor	61
2020-08-22	Klemzig SA Competitor	51
2020-08-23	Klemzig SA Competitor	56
2020-08-24	Klemzig SA Competitor	57
2020-08-25	Klemzig SA Competitor	48
2020-08-26	Klemzig SA Competitor	48
2020-08-27	Klemzig SA Competitor	48
2020-08-28	Klemzig SA Competitor	56
2020-08-29	Klemzig SA Competitor	66
2020-08-30	Klemzig SA Competitor	60
2020-08-31	Klemzig SA Competitor	37
2020-09-01	Klemzig SA Competitor	23
2020-09-02	Klemzig SA Competitor	3
