Date	Polygon	Observed Devices
2020-03-12	OTR Green acres	15
2020-03-13	OTR Green acres	17
2020-03-14	OTR Green acres	17
2020-03-15	OTR Green acres	24
2020-03-16	OTR Green acres	9
2020-03-17	OTR Green acres	9
2020-03-18	OTR Green acres	9
2020-03-19	OTR Green acres	16
2020-03-20	OTR Green acres	8
2020-03-21	OTR Green acres	9
2020-03-22	OTR Green acres	2
2020-03-23	OTR Green acres	10
2020-03-24	OTR Green acres	6
2020-03-25	OTR Green acres	6
2020-03-26	OTR Green acres	9
2020-03-27	OTR Green acres	11
2020-03-28	OTR Green acres	7
2020-03-29	OTR Green acres	9
2020-03-30	OTR Green acres	10
2020-03-31	OTR Green acres	12
2020-04-01	OTR Green acres	8
2020-04-02	OTR Green acres	5
2020-04-03	OTR Green acres	3
2020-04-04	OTR Green acres	8
2020-04-05	OTR Green acres	5
2020-04-06	OTR Green acres	8
2020-04-07	OTR Green acres	12
2020-04-08	OTR Green acres	10
2020-04-09	OTR Green acres	4
2020-04-10	OTR Green acres	11
2020-04-11	OTR Green acres	5
2020-04-12	OTR Green acres	8
2020-04-13	OTR Green acres	8
2020-04-14	OTR Green acres	8
2020-04-15	OTR Green acres	4
2020-04-16	OTR Green acres	6
2020-04-17	OTR Green acres	6
2020-04-18	OTR Green acres	5
2020-04-19	OTR Green acres	7
2020-04-20	OTR Green acres	9
2020-04-21	OTR Green acres	12
2020-04-22	OTR Green acres	10
2020-04-23	OTR Green acres	11
2020-04-24	OTR Green acres	8
2020-04-25	OTR Green acres	14
2020-04-26	OTR Green acres	6
2020-04-27	OTR Green acres	6
2020-04-28	OTR Green acres	10
2020-04-29	OTR Green acres	7
2020-04-30	OTR Green acres	5
2020-05-01	OTR Green acres	16
2020-05-02	OTR Green acres	10
2020-05-03	OTR Green acres	8
2020-05-04	OTR Green acres	4
2020-05-05	OTR Green acres	11
2020-05-06	OTR Green acres	5
2020-05-07	OTR Green acres	5
2020-05-08	OTR Green acres	12
2020-05-09	OTR Green acres	11
2020-05-10	OTR Green acres	5
2020-05-11	OTR Green acres	7
2020-05-12	OTR Green acres	10
2020-05-13	OTR Green acres	9
2020-05-14	OTR Green acres	11
2020-05-15	OTR Green acres	18
2020-05-16	OTR Green acres	7
2020-05-17	OTR Green acres	12
2020-05-18	OTR Green acres	6
2020-05-19	OTR Green acres	19
2020-05-20	OTR Green acres	12
2020-05-21	OTR Green acres	20
2020-05-22	OTR Green acres	15
