Polygon Id	Hashed Ubermedia Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening Census	Common Evening Micro	Common Evening Municipality	Common Evening Admin	Common Evening Province	Common Evening Postal1	Common Evening Postal2	Common Evening Custom1	Common Evening Custom2	Common Evening Distance	Common Daytime Lat	Common Daytime Long	Common Daytime Country	Common Daytime Census	Common Daytime Micro	Common Daytime Municipality	Common Daytime Admin	Common Daytime Province	Common Daytime Postal1	Common Daytime Postal2	Common Daytime Custom1	Common Daytime Custom2	Common Daytime Distance
Stirling Hotel SA	af24c033edbcfd5a981acc06ec38317bef2d2727	-34.99090650010403	138.6787752288025	AUS	40102100412		Adelaide Hills DC	Aldgate - Stirling	South Australia		5152			2.4709221778386685	-34.99090550010403	138.67877122880185	AUS	40102100412		Adelaide Hills DC	Aldgate - Stirling	South Australia		5152			2.4711560434540885
Stirling Hotel SA	eaf8daabf628d988e375d35bd9961cb04277e6a8	-35.018223976746626	138.69043586442874	AUS	40102100405		Adelaide Hills DC	Aldgate - Stirling	South Australia		5156			1.7465383434014408	-35.01822297674663	138.69043686442598	AUS	40102100405		Adelaide Hills DC	Aldgate - Stirling	South Australia		5156			1.746456404496362
Stirling Hotel SA	c5c55ec205371b004b6d742322fdfa1148fd29d1	-35.58652390079386	138.59749045413488	AUS	40701114828		Victor Harbor C	Victor Harbor	South Australia		5211			40.67734201277107	-34.88715890079386	138.6328072270164	AUS	40106102212		Walkerville M	Walkerville	South Australia		5081			9.573841485890364
Stirling Hotel SA	5779b8d75eccf1b8e923e5e4dabd1d5baf4a4b8a	-34.993134950389354	138.74082200222688	AUS	40102100416		Adelaide Hills DC	Aldgate - Stirling	South Australia		5152			1.6040278454934447	-34.89804695038935	138.6873231401505	AUS	40104101630		Campbelltown C SA	Rostrevor - Magill	South Australia		5073			7.713934434847325
Stirling Hotel SA	9711fced7df4b02e9400a8b3e59284d9a44400d6	-34.9439126470076	138.66574074273768	AUS	40103101112		Burnside C	Burnside - Wattle Park	South Australia		5066			5.254122591077235	-34.9440226470076	138.66572174306063	AUS	40103101112		Burnside C	Burnside - Wattle Park	South Australia		5066			5.248438403897639
Stirling Hotel SA	921968f3c3e8bec233c2ea8a910a22e1a9d9a419	-34.961840985654725	138.6252570446855	AUS	40107102431		Unley C	Unley - Parkside	South Australia		5063			6.09826190255588	-34.94228798565472	138.57600213602018	AUS	40403110736		West Torrens C	Plympton	South Australia		5035			9.193827337200691
Stirling Hotel SA	a8a9cc8bc78b9eb828aa8eaed536866df6cea069	-34.91953215282156	138.65769825945992	AUS	40103101127		Burnside C	Burnside - Wattle Park	South Australia		5068			6.928770068091669	-34.92425615282156	138.60896328745213	AUS	40101100134		Adelaide C	Adelaide	South Australia		5000			8.405492243354779
Stirling Hotel SA	8e300f5e485fb35d72023154bd3bdfa7a8ade39d	-34.939552058111786	138.66832017016065	AUS	40103101111		Burnside C	Burnside - Wattle Park	South Australia		5066			5.4291113945671015	-34.93947005811179	138.6682571701065	AUS	40103101111		Burnside C	Burnside - Wattle Park	South Australia		5066			5.435813451498056
Stirling Hotel SA	08d652a43b7069dd35f3324c0fef2c314c2681d4	-34.94833830464584	138.62438577815797	AUS	40107102416		Unley C	Unley - Parkside	South Australia		5063			6.662221857559151	-34.948361304645836	138.62437077814334	AUS	40107102416		Unley C	Unley - Parkside	South Australia		5063			6.661933363304622
Stirling Hotel SA	472b20fc5d6c719ae04046a3b503b7867dca38db	-34.80078252001515	138.73122450838036	AUS	40205105424		Tea Tree Gully C	Redwood Park	South Australia		5126			14.264864679441892	-34.80076452001515	138.7312575083785	AUS	40205105424		Tea Tree Gully C	Redwood Park	South Australia		5126			14.266207472360476
