Date	Polygon	Observed Devices
2020-09-16	Stirling Hotel SA	3
2020-09-17	Stirling Hotel SA	5
2020-09-18	Stirling Hotel SA	13
2020-09-19	Stirling Hotel SA	14
2020-09-20	Stirling Hotel SA	22
2020-09-21	Stirling Hotel SA	6
2020-09-22	Stirling Hotel SA	8
2020-09-23	Stirling Hotel SA	3
2020-09-24	Stirling Hotel SA	6
2020-09-25	Stirling Hotel SA	7
2020-09-26	Stirling Hotel SA	17
2020-09-27	Stirling Hotel SA	20
2020-09-28	Stirling Hotel SA	3
2020-09-29	Stirling Hotel SA	9
2020-09-30	Stirling Hotel SA	8
2020-10-01	Stirling Hotel SA	6
2020-10-02	Stirling Hotel SA	12
2020-10-03	Stirling Hotel SA	11
2020-10-04	Stirling Hotel SA	12
2020-10-05	Stirling Hotel SA	12
2020-10-06	Stirling Hotel SA	5
2020-10-07	Stirling Hotel SA	10
2020-10-08	Stirling Hotel SA	12
2020-10-09	Stirling Hotel SA	11
2020-10-10	Stirling Hotel SA	11
2020-10-11	Stirling Hotel SA	16
2020-10-12	Stirling Hotel SA	5
2020-10-13	Stirling Hotel SA	6
2020-10-14	Stirling Hotel SA	5
2020-10-15	Stirling Hotel SA	3
2020-10-16	Stirling Hotel SA	13
2020-10-17	Stirling Hotel SA	12
2020-10-18	Stirling Hotel SA	11
2020-10-19	Stirling Hotel SA	3
2020-10-20	Stirling Hotel SA	7
2020-10-21	Stirling Hotel SA	3
2020-10-22	Stirling Hotel SA	8
2020-10-23	Stirling Hotel SA	30
2020-10-24	Stirling Hotel SA	13
2020-10-25	Stirling Hotel SA	18
2020-10-26	Stirling Hotel SA	3
2020-10-27	Stirling Hotel SA	7
2020-10-28	Stirling Hotel SA	5
2020-10-29	Stirling Hotel SA	7
2020-10-30	Stirling Hotel SA	12
2020-10-31	Stirling Hotel SA	16
2020-11-01	Stirling Hotel SA	10
2020-11-02	Stirling Hotel SA	7
2020-11-03	Stirling Hotel SA	15
2020-11-04	Stirling Hotel SA	8
